Infinitive,отпере́ть
Zaliznyak Class,9*b/c①
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,о́тперший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́тпертый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,о́тперши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отопру́
2nd Sing,отопрёшь
3rd Sing,отопрёт
1st Pl,отопрём
2nd Pl,отопрёте
3rd Pl,отопру́т
Past M,о́тпер
Past F,отперла́
Past N,о́тперло
Past PL,о́тперли
Imp S,отопри́
Imp PL,отопри́те
