Infinitive,отмы́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отмы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отмы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отмы́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отмы́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отмо́ю
2nd Sing,отмо́ешь
3rd Sing,отмо́ет
1st Pl,отмо́ем
2nd Pl,отмо́ете
3rd Pl,отмо́ют
Past M,отмы́л
Past F,отмы́ла
Past N,отмы́ло
Past PL,отмы́ли
Imp S,отмо́й
Imp PL,отмо́йте
