Infinitive,отклони́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отклони́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отклони́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отклоню́сь
2nd Sing,откло́нишься
3rd Sing,откло́нится
1st Pl,откло́нимся
2nd Pl,откло́нитесь
3rd Pl,откло́нятся
Past M,отклони́лся
Past F,отклони́лась
Past N,отклони́лось
Past PL,отклони́лись
Imp S,отклони́сь
Imp PL,отклони́тесь
