Infinitive,отдели́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отдели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отделённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отдели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отдели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отделю́
2nd Sing,отде́лишь
3rd Sing,отде́лит
1st Pl,отде́лим
2nd Pl,отде́лите
3rd Pl,отде́лят
Past M,отдели́л
Past F,отдели́ла
Past N,отдели́ло
Past PL,отдели́ли
Imp S,отдели́
Imp PL,отдели́те
