Infinitive,отсве́чивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отсве́чивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отсве́чивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отсве́чивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отсве́чивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отсве́чивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отсве́чиваю
2nd Sing,отсве́чиваешь
3rd Sing,отсве́чивает
1st Pl,отсве́чиваем
2nd Pl,отсве́чиваете
3rd Pl,отсве́чивают
Past M,отсве́чивал
Past F,отсве́чивала
Past N,отсве́чивало
Past PL,отсве́чивали
Imp S,отсве́чивай
Imp PL,отсве́чивайте
