Infinitive,отмежева́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отмежева́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отмежева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отмежева́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отмежева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отмежева́юсь
2nd Sing,отмежева́ешься
3rd Sing,отмежева́ется
1st Pl,отмежева́емся
2nd Pl,отмежева́етесь
3rd Pl,отмежева́ются
Past M,отмежева́лся
Past F,отмежева́лась
Past N,отмежева́лось
Past PL,отмежева́лись
Imp S,отмежева́йся
Imp PL,отмежева́йтесь
