Infinitive,отсчита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отсчита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отсчи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отсчита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отсчита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отсчита́ю
2nd Sing,отсчита́ешь
3rd Sing,отсчита́ет
1st Pl,отсчита́ем
2nd Pl,отсчита́ете
3rd Pl,отсчита́ют
Past M,отсчита́л
Past F,отсчита́ла
Past N,отсчита́ло
Past PL,отсчита́ли
Imp S,отсчита́й
Imp PL,отсчита́йте
