Infinitive,отрабо́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отрабо́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отрабо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отрабо́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отрабо́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отрабо́таю
2nd Sing,отрабо́таешь
3rd Sing,отрабо́тает
1st Pl,отрабо́таем
2nd Pl,отрабо́таете
3rd Pl,отрабо́тают
Past M,отрабо́тал
Past F,отрабо́тала
Past N,отрабо́тало
Past PL,отрабо́тали
Imp S,отрабо́тай
Imp PL,отрабо́тайте
