Infinitive,отгова́ривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отгова́ривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отгова́ривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отгова́риваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отгова́ривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отгова́ривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отгова́ривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отгова́риваю
2nd Sing,отгова́риваешь
3rd Sing,отгова́ривает
1st Pl,отгова́риваем
2nd Pl,отгова́риваете
3rd Pl,отгова́ривают
Past M,отгова́ривал
Past F,отгова́ривала
Past N,отгова́ривало
Past PL,отгова́ривали
Imp S,отгова́ривай
Imp PL,отгова́ривайте
