Infinitive,отъе́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отъе́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отъе́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отъе́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отъе́ду
2nd Sing,отъе́дешь
3rd Sing,отъе́дет
1st Pl,отъе́дем
2nd Pl,отъе́дете
3rd Pl,отъе́дут
Past M,отъе́хал
Past F,отъе́хала
Past N,отъе́хало
Past PL,отъе́хали
Imp S,отъезжа́й
Imp PL,отъезжа́йте
