Infinitive,отре́чься
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отрёкшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отрёкшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отреку́сь
2nd Sing,отречёшься
3rd Sing,отречётся
1st Pl,отречёмся
2nd Pl,отречётесь
3rd Pl,отреку́тся
Past M,отрёкся
Past F,отрекла́сь
Past N,отрекло́сь
Past PL,отрекли́сь
Imp S,отреки́сь
Imp PL,отреки́тесь
