Infinitive,открыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,открыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,открыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,открыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,открыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,открыва́юсь
2nd Sing,открыва́ешься
3rd Sing,открыва́ется
1st Pl,открыва́емся
2nd Pl,открыва́етесь
3rd Pl,открыва́ются
Past M,открыва́лся
Past F,открыва́лась
Past N,открыва́лось
Past PL,открыва́лись
Imp S,открыва́йся
Imp PL,открыва́йтесь
