Infinitive,отве́дать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отве́давший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отве́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отве́дав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отве́давши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отве́даю
2nd Sing,отве́даешь
3rd Sing,отве́дает
1st Pl,отве́даем
2nd Pl,отве́даете
3rd Pl,отве́дают
Past M,отве́дал
Past F,отве́дала
Past N,отве́дало
Past PL,отве́дали
Imp S,отве́дай
Imp PL,отве́дайте
