Infinitive,отпусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отпусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отпусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отпущу́
2nd Sing,отпу́стишь
3rd Sing,отпу́стит
1st Pl,отпу́стим
2nd Pl,отпу́стите
3rd Pl,отпу́стят
Past M,отпусти́л
Past F,отпусти́ла
Past N,отпусти́ло
Past PL,отпусти́ли
Imp S,отпусти́
Imp PL,отпусти́те
