Infinitive,отвы́кнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отвы́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвы́кши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отвы́кну
2nd Sing,отвы́кнешь
3rd Sing,отвы́кнет
1st Pl,отвы́кнем
2nd Pl,отвы́кнете
3rd Pl,отвы́кнут
Past M,отвы́к
Past F,отвы́кла
Past N,отвы́кло
Past PL,отвы́кли
Imp S,отвы́кни
Imp PL,отвы́кните
