Infinitive,отыска́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отыска́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отыска́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отыщу́сь
2nd Sing,оты́щешься
3rd Sing,оты́щется
1st Pl,оты́щемся
2nd Pl,оты́щетесь
3rd Pl,оты́щутся
Past M,отыска́лся
Past F,отыска́лась
Past N,отыска́лось
Past PL,отыска́лись
Imp S,отыщи́сь
Imp PL,отыщи́тесь
