Infinitive,отта́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отта́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отта́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отта́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отта́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отта́ю
2nd Sing,отта́ешь
3rd Sing,отта́ет
1st Pl,отта́ем
2nd Pl,отта́ете
3rd Pl,отта́ют
Past M,отта́ял
Past F,отта́яла
Past N,отта́яло
Past PL,отта́яли
Imp S,отта́й
Imp PL,отта́йте
