Infinitive,отходи́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отходя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отходи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отходя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отходи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отходи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отхожу́
2nd Sing,отхо́дишь
3rd Sing,отхо́дит
1st Pl,отхо́дим
2nd Pl,отхо́дите
3rd Pl,отхо́дят
Past M,отходи́л
Past F,отходи́ла
Past N,отходи́ло
Past PL,отходи́ли
Imp S,отходи́
Imp PL,отходи́те
