Infinitive,оттесни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оттесни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оттеснённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оттесни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оттесни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оттесню́
2nd Sing,оттесни́шь
3rd Sing,оттесни́т
1st Pl,оттесни́м
2nd Pl,оттесни́те
3rd Pl,оттесня́т
Past M,оттесни́л
Past F,оттесни́ла
Past N,оттесни́ло
Past PL,оттесни́ли
Imp S,оттесни́
Imp PL,оттесни́те
