Infinitive,отнести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отнёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отнесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отнеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отнёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отнесу́
2nd Sing,отнесёшь
3rd Sing,отнесёт
1st Pl,отнесём
2nd Pl,отнесёте
3rd Pl,отнесу́т
Past M,отнёс
Past F,отнесла́
Past N,отнесло́
Past PL,отнесли́
Imp S,отнеси́
Imp PL,отнеси́те
