Infinitive,отодра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отодра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ото́дранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отодра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отодра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отдеру́
2nd Sing,отдерёшь
3rd Sing,отдерёт
1st Pl,отдерём
2nd Pl,отдерёте
3rd Pl,отдеру́т
Past M,отодра́л
Past F,отодрала́
Past N,отодра́ло
Past PL,отодра́ли
Imp S,отдери́
Imp PL,отдери́те
