Infinitive,отрази́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отрази́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отрази́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отражу́сь
2nd Sing,отрази́шься
3rd Sing,отрази́тся
1st Pl,отрази́мся
2nd Pl,отрази́тесь
3rd Pl,отразя́тся
Past M,отрази́лся
Past F,отрази́лась
Past N,отрази́лось
Past PL,отрази́лись
Imp S,отрази́сь
Imp PL,отрази́тесь
