Infinitive,отказа́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отказа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отказа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,откажу́сь
2nd Sing,отка́жешься
3rd Sing,отка́жется
1st Pl,отка́жемся
2nd Pl,отка́жетесь
3rd Pl,отка́жутся
Past M,отказа́лся
Past F,отказа́лась
Past N,отказа́лось
Past PL,отказа́лись
Imp S,откажи́сь
Imp PL,откажи́тесь
