Infinitive,отправля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отправля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отправля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отправля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отправля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отправля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отправля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отправля́ю
2nd Sing,отправля́ешь
3rd Sing,отправля́ет
1st Pl,отправля́ем
2nd Pl,отправля́ете
3rd Pl,отправля́ют
Past M,отправля́л
Past F,отправля́ла
Past N,отправля́ло
Past PL,отправля́ли
Imp S,отправля́й
Imp PL,отправля́йте
