Infinitive,отме́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отме́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отме́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отме́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отме́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отме́чу
2nd Sing,отме́тишь
3rd Sing,отме́тит
1st Pl,отме́тим
2nd Pl,отме́тите
3rd Pl,отме́тят
Past M,отме́тил
Past F,отме́тила
Past N,отме́тило
Past PL,отме́тили
Imp S,отме́ть
Imp PL,отме́тьте
