Infinitive,отвяза́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отвяза́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвяза́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отвяжу́сь
2nd Sing,отвя́жешься
3rd Sing,отвя́жется
1st Pl,отвя́жемся
2nd Pl,отвя́жетесь
3rd Pl,отвя́жутся
Past M,отвяза́лся
Past F,отвяза́лась
Past N,отвяза́лось
Past PL,отвяза́лись
Imp S,отвяжи́сь
Imp PL,отвяжи́тесь
