Infinitive,отвле́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отвлёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвлечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отвлёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отвлеку́
2nd Sing,отвлечёшь
3rd Sing,отвлечёт
1st Pl,отвлечём
2nd Pl,отвлечёте
3rd Pl,отвлеку́т
Past M,отвлёк
Past F,отвлекла́
Past N,отвлекло́
Past PL,отвлекли́
Imp S,отвлеки́
Imp PL,отвлеки́те
