Infinitive,отвали́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отвали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отва́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отвали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отвали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отвалю́
2nd Sing,отва́лишь
3rd Sing,отва́лит
1st Pl,отва́лим
2nd Pl,отва́лите
3rd Pl,отва́лят
Past M,отвали́л
Past F,отвали́ла
Past N,отвали́ло
Past PL,отвали́ли
Imp S,отвали́
Imp PL,отвали́те
