Infinitive,отта́лкиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отта́лкивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отта́лкивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отта́лкиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отта́лкивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отта́лкиваюсь
2nd Sing,отта́лкиваешься
3rd Sing,отта́лкивается
1st Pl,отта́лкиваемся
2nd Pl,отта́лкиваетесь
3rd Pl,отта́лкиваются
Past M,отта́лкивался
Past F,отта́лкивалась
Past N,отта́лкивалось
Past PL,отта́лкивались
Imp S,отта́лкивайся
Imp PL,отта́лкивайтесь
