Infinitive,отыска́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отыска́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оты́сканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отыска́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отыска́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отыщу́
2nd Sing,оты́щешь
3rd Sing,оты́щет
1st Pl,оты́щем
2nd Pl,оты́щете
3rd Pl,оты́щут
Past M,отыска́л
Past F,отыска́ла
Past N,отыска́ло
Past PL,отыска́ли
Imp S,отыщи́
Imp PL,отыщи́те
