Infinitive,отража́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отража́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отража́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отража́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отража́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отража́юсь
2nd Sing,отража́ешься
3rd Sing,отража́ется
1st Pl,отража́емся
2nd Pl,отража́етесь
3rd Pl,отража́ются
Past M,отража́лся
Past F,отража́лась
Past N,отража́лось
Past PL,отража́лись
Imp S,отража́йся
Imp PL,отража́йтесь
