Infinitive,отраста́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отраста́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отраста́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отраста́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отраста́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отраста́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отраста́ю
2nd Sing,отраста́ешь
3rd Sing,отраста́ет
1st Pl,отраста́ем
2nd Pl,отраста́ете
3rd Pl,отраста́ют
Past M,отраста́л
Past F,отраста́ла
Past N,отраста́ло
Past PL,отраста́ли
Imp S,отраста́й
Imp PL,отраста́йте
