Infinitive,оторва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оторва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оторва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оторву́сь
2nd Sing,оторвёшься
3rd Sing,оторвётся
1st Pl,оторвёмся
2nd Pl,оторвётесь
3rd Pl,оторву́тся
Past M,оторва́лся
Past F,оторвала́сь
Past N,оторвало́сь
Past PL,оторвали́сь
Imp S,оторви́сь
Imp PL,оторви́тесь
