Infinitive,отби́ть
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отобью́
2nd Sing,отобьёшь
3rd Sing,отобьёт
1st Pl,отобьём
2nd Pl,отобьёте
3rd Pl,отобью́т
Past M,отби́л
Past F,отби́ла
Past N,отби́ло
Past PL,отби́ли
Imp S,отбе́й
Imp PL,отбе́йте
