Infinitive,отводи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отводя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отводи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отводя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отводи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отвожу́сь
2nd Sing,отво́дишься
3rd Sing,отво́дится
1st Pl,отво́димся
2nd Pl,отво́дитесь
3rd Pl,отво́дятся
Past M,отводи́лся
Past F,отводи́лась
Past N,отводи́лось
Past PL,отводи́лись
Imp S,отводи́сь
Imp PL,отводи́тесь
