Infinitive,отвора́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отвора́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвора́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отвора́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отвора́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отвора́чиваюсь
2nd Sing,отвора́чиваешься
3rd Sing,отвора́чивается
1st Pl,отвора́чиваемся
2nd Pl,отвора́чиваетесь
3rd Pl,отвора́чиваются
Past M,отвора́чивался
Past F,отвора́чивалась
Past N,отвора́чивалось
Past PL,отвора́чивались
Imp S,отвора́чивайся
Imp PL,отвора́чивайтесь
