Infinitive,отблагодари́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отблагодари́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отблагодарённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отблагодари́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отблагодари́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отблагодарю́
2nd Sing,отблагодари́шь
3rd Sing,отблагодари́т
1st Pl,отблагодари́м
2nd Pl,отблагодари́те
3rd Pl,отблагодаря́т
Past M,отблагодари́л
Past F,отблагодари́ла
Past N,отблагодари́ло
Past PL,отблагодари́ли
Imp S,отблагодари́
Imp PL,отблагодари́те
