Infinitive,отстро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отстро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отстро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отстро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отстро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отстро́ю
2nd Sing,отстро́ишь
3rd Sing,отстро́ит
1st Pl,отстро́им
2nd Pl,отстро́ите
3rd Pl,отстро́ят
Past M,отстро́ил
Past F,отстро́ила
Past N,отстро́ило
Past PL,отстро́или
Imp S,отстро́й
Imp PL,отстро́йте
