Infinitive,отупе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отупе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отупе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отупе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отупе́ю
2nd Sing,отупе́ешь
3rd Sing,отупе́ет
1st Pl,отупе́ем
2nd Pl,отупе́ете
3rd Pl,отупе́ют
Past M,отупе́л
Past F,отупе́ла
Past N,отупе́ло
Past PL,отупе́ли
Imp S,отупе́й
Imp PL,отупе́йте
