Infinitive,отпря́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отпря́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпря́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отпря́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отпря́ну
2nd Sing,отпря́нешь
3rd Sing,отпря́нет
1st Pl,отпря́нем
2nd Pl,отпря́нете
3rd Pl,отпря́нут
Past M,отпря́нул
Past F,отпря́нула
Past N,отпря́нуло
Past PL,отпря́нули
Imp S,отпря́нь
Imp PL,отпря́ньте
