Infinitive,отвиса́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отвиса́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвиса́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отвиса́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отвиса́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отвиса́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отвиса́ю
2nd Sing,отвиса́ешь
3rd Sing,отвиса́ет
1st Pl,отвиса́ем
2nd Pl,отвиса́ете
3rd Pl,отвиса́ют
Past M,отвиса́л
Past F,отвиса́ла
Past N,отвиса́ло
Past PL,отвиса́ли
Imp S,отвиса́й
Imp PL,отвиса́йте
