Infinitive,отяготи́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отяготи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отягощённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отяготи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отяготи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отягощу́
2nd Sing,отяготи́шь
3rd Sing,отяготи́т
1st Pl,отяготи́м
2nd Pl,отяготи́те
3rd Pl,отяготя́т
Past M,отяготи́л
Past F,отяготи́ла
Past N,отяготи́ло
Past PL,отяготи́ли
Imp S,отяготи́
Imp PL,отяготи́те
