Infinitive,отда́ться
Zaliznyak Class,irreg-b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отда́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отда́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отда́мся
2nd Sing,отда́шься
3rd Sing,отда́стся
1st Pl,отдади́мся
2nd Pl,отдади́тесь
3rd Pl,отдаду́тся
Past M,отда́лся
Past F,отдала́сь
Past N,отдало́сь
Past PL,отдали́сь
Imp S,отда́йся
Imp PL,отда́йтесь
