Infinitive,отъезжа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отъезжа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отъезжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отъезжа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отъезжа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отъезжа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отъезжа́ю
2nd Sing,отъезжа́ешь
3rd Sing,отъезжа́ет
1st Pl,отъезжа́ем
2nd Pl,отъезжа́ете
3rd Pl,отъезжа́ют
Past M,отъезжа́л
Past F,отъезжа́ла
Past N,отъезжа́ло
Past PL,отъезжа́ли
Imp S,отъезжа́й
Imp PL,отъезжа́йте
