Infinitive,отнести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отнёсшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отнеся́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отнёсшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отнесу́сь
2nd Sing,отнесёшься
3rd Sing,отнесётся
1st Pl,отнесёмся
2nd Pl,отнесётесь
3rd Pl,отнесу́тся
Past M,отнёсся
Past F,отнесла́сь
Past N,отнесло́сь
Past PL,отнесли́сь
Imp S,отнеси́сь
Imp PL,отнеси́тесь
