Infinitive,отпу́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отпу́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпу́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпу́гиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отпу́гивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отпу́гивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отпу́гивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отпу́гиваю
2nd Sing,отпу́гиваешь
3rd Sing,отпу́гивает
1st Pl,отпу́гиваем
2nd Pl,отпу́гиваете
3rd Pl,отпу́гивают
Past M,отпу́гивал
Past F,отпу́гивала
Past N,отпу́гивало
Past PL,отпу́гивали
Imp S,отпу́гивай
Imp PL,отпу́гивайте
