Infinitive,отсро́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отсро́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отсро́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отсро́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отсро́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отсро́чу
2nd Sing,отсро́чишь
3rd Sing,отсро́чит
1st Pl,отсро́чим
2nd Pl,отсро́чите
3rd Pl,отсро́чат
Past M,отсро́чил
Past F,отсро́чила
Past N,отсро́чило
Past PL,отсро́чили
Imp S,отсро́чь
Imp PL,отсро́чьте
