Infinitive,отлови́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отлови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отло́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отлови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отлови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отловлю́
2nd Sing,отло́вишь
3rd Sing,отло́вит
1st Pl,отло́вим
2nd Pl,отло́вите
3rd Pl,отло́вят
Past M,отлови́л
Past F,отлови́ла
Past N,отлови́ло
Past PL,отлови́ли
Imp S,отлови́
Imp PL,отлови́те
