Infinitive,отви́нчивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отви́нчивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отви́нчивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отви́нчиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отви́нчивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отви́нчивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отви́нчивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отви́нчиваю
2nd Sing,отви́нчиваешь
3rd Sing,отви́нчивает
1st Pl,отви́нчиваем
2nd Pl,отви́нчиваете
3rd Pl,отви́нчивают
Past M,отви́нчивал
Past F,отви́нчивала
Past N,отви́нчивало
Past PL,отви́нчивали
Imp S,отви́нчивай
Imp PL,отви́нчивайте
