Infinitive,отсы́паться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отсы́павшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отсы́павшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отсы́плюсь
2nd Sing,отсы́плешься
3rd Sing,отсы́плется
1st Pl,отсы́племся
2nd Pl,отсы́плетесь
3rd Pl,отсы́плются
Past M,отсы́пался
Past F,отсы́палась
Past N,отсы́палось
Past PL,отсы́пались
Imp S,отсы́пься
Imp PL,отсы́пьтесь
