Infinitive,отвыка́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отвыка́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвыка́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отвыка́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отвыка́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отвыка́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отвыка́ю
2nd Sing,отвыка́ешь
3rd Sing,отвыка́ет
1st Pl,отвыка́ем
2nd Pl,отвыка́ете
3rd Pl,отвыка́ют
Past M,отвыка́л
Past F,отвыка́ла
Past N,отвыка́ло
Past PL,отвыка́ли
Imp S,отвыка́й
Imp PL,отвыка́йте
