Infinitive,отпада́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отпада́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпада́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпада́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отпада́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отпада́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отпада́ю
2nd Sing,отпада́ешь
3rd Sing,отпада́ет
1st Pl,отпада́ем
2nd Pl,отпада́ете
3rd Pl,отпада́ют
Past M,отпада́л
Past F,отпада́ла
Past N,отпада́ло
Past PL,отпада́ли
Imp S,отпада́й
Imp PL,отпада́йте
