Infinitive,отворя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отворя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отворя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отворя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отворя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отворя́юсь
2nd Sing,отворя́ешься
3rd Sing,отворя́ется
1st Pl,отворя́емся
2nd Pl,отворя́етесь
3rd Pl,отворя́ются
Past M,отворя́лся
Past F,отворя́лась
Past N,отворя́лось
Past PL,отворя́лись
Imp S,отворя́йся
Imp PL,отворя́йтесь
