Infinitive,отгороди́ться
Zaliznyak Class,4c // 4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отгороди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отгороди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отгорожу́сь
2nd Sing,отгоро́дишься
3rd Sing,отгоро́дится
1st Pl,отгоро́димся
2nd Pl,отгоро́дитесь
3rd Pl,отгоро́дятся
Past M,отгороди́лся
Past F,отгороди́лась
Past N,отгороди́лось
Past PL,отгороди́лись
Imp S,отгороди́сь
Imp PL,отгороди́тесь
