Infinitive,отозва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отозва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ото́званный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отозва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отозва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отзову́
2nd Sing,отзовёшь
3rd Sing,отзовёт
1st Pl,отзовём
2nd Pl,отзовёте
3rd Pl,отзову́т
Past M,отозва́л
Past F,отозвала́
Past N,отозва́ло
Past PL,отозва́ли
Imp S,отзови́
Imp PL,отзови́те
