Infinitive,отвори́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отвори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отворю́сь
2nd Sing,отвори́шься
3rd Sing,отвори́тся
1st Pl,отвори́мся
2nd Pl,отвори́тесь
3rd Pl,отворя́тся
Past M,отвори́лся
Past F,отвори́лась
Past N,отвори́лось
Past PL,отвори́лись
Imp S,отвори́сь
Imp PL,отвори́тесь
