Infinitive,отжа́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отжа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отжа́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отжа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отжа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отожму́
2nd Sing,отожмёшь
3rd Sing,отожмёт
1st Pl,отожмём
2nd Pl,отожмёте
3rd Pl,отожму́т
Past M,отжа́л
Past F,отжа́ла
Past N,отжа́ло
Past PL,отжа́ли
Imp S,отожми́
Imp PL,отожми́те
