Infinitive,отложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отло́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отложу́
2nd Sing,отло́жишь
3rd Sing,отло́жит
1st Pl,отло́жим
2nd Pl,отло́жите
3rd Pl,отло́жат
Past M,отложи́л
Past F,отложи́ла
Past N,отложи́ло
Past PL,отложи́ли
Imp S,отложи́
Imp PL,отложи́те
