Infinitive,отозва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отозва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отозва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отзову́сь
2nd Sing,отзовёшься
3rd Sing,отзовётся
1st Pl,отзовёмся
2nd Pl,отзовётесь
3rd Pl,отзову́тся
Past M,отозва́лся
Past F,отозвала́сь
Past N,отозвало́сь
Past PL,отозвали́сь
Imp S,отзови́сь
Imp PL,отзови́тесь
