Infinitive,откорми́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,откорми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отко́рмленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,откорми́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,откорми́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,откормлю́
2nd Sing,отко́рмишь
3rd Sing,отко́рмит
1st Pl,отко́рмим
2nd Pl,отко́рмите
3rd Pl,отко́рмят
Past M,откорми́л
Past F,откорми́ла
Past N,откорми́ло
Past PL,откорми́ли
Imp S,откорми́
Imp PL,откорми́те
