Infinitive,отта́чивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отта́чивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отта́чивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отта́чиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отта́чивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отта́чивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отта́чивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отта́чиваю
2nd Sing,отта́чиваешь
3rd Sing,отта́чивает
1st Pl,отта́чиваем
2nd Pl,отта́чиваете
3rd Pl,отта́чивают
Past M,отта́чивал
Past F,отта́чивала
Past N,отта́чивало
Past PL,отта́чивали
Imp S,отта́чивай
Imp PL,отта́чивайте
