Infinitive,отряхну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отряхну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отря́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отряхну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отряхну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отряхну́
2nd Sing,отряхнёшь
3rd Sing,отряхнёт
1st Pl,отряхнём
2nd Pl,отряхнёте
3rd Pl,отряхну́т
Past M,отряхну́л
Past F,отряхну́ла
Past N,отряхну́ло
Past PL,отряхну́ли
Imp S,отряхни́
Imp PL,отряхни́те
