Infinitive,откры́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,откры́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,откры́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,откро́юсь
2nd Sing,откро́ешься
3rd Sing,откро́ется
1st Pl,откро́емся
2nd Pl,откро́етесь
3rd Pl,откро́ются
Past M,откры́лся
Past F,откры́лась
Past N,откры́лось
Past PL,откры́лись
Imp S,откро́йся
Imp PL,откро́йтесь
