Infinitive,отдали́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отдали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отдали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отдалю́сь
2nd Sing,отдали́шься
3rd Sing,отдали́тся
1st Pl,отдали́мся
2nd Pl,отдали́тесь
3rd Pl,отдаля́тся
Past M,отдали́лся
Past F,отдали́лась
Past N,отдали́лось
Past PL,отдали́лись
Imp S,отдали́сь
Imp PL,отдали́тесь
